Serial,Code,Product Name (Arabic),Product Name (english),Description (Arabic),Description (English),Category (Arabic),Category (English),Net Cost Value,Cost Price,Net,Case Net,In Stock
11,1000011,ورق قراص,Nettle Leaves,"ورق قراص من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Nettle Leaves is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,124.5,41.5,3,3,0
12,1000012,ذنب الخيل (ذيل الحصان),Horsetail Herb,"ذنب الخيل (ذيل الحصان) من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",ذنب الخيل ذيل الحصان is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.01,2.01,0
13,1000013,حب الرمان مجفف,Dried Pomegranate Seeds,"حب الرمان مجفف من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds الرمان Dried are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,3.04,3.04,0
14,1000014,مستكا صفراء,Yellow Mastic,"مستكا صفراء من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Mastic Yellow is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.02,3.02,0
15,1000015,لبان ذكر عماني للبخور,Omani Frankincense Incense,"لبان ذكر عماني للبخور بخور عطري فاخر برائحة زكية ومميزة، يضفي أجواء من الراحة والاسترخاء.","لبان ذكر Omani للبخور is a luxurious aromatic incense with a distinctive fragrance, creating an atmosphere of comfort and relaxation.",البخور والعطور,Incense & Fragrances,0,0,4.909,4.91,0
16,1000016,مراميه,Sage,"مراميه من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Sage is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.642,2.64,0
17,1000017,املج حب سنا نير,Amla Seeds (Sana Nir),"املج حب سنا نير من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Amla Seeds سنا Nir are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,3.02,3.02,0
18,1000018,حلبه قصيمي,Fenugreek Qassimi,"حلبه قصيمي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Fenugreek Qassimi is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,6.04,6.04,0
19,1000019,ورق التوت,Mulberry Leaves,"ورق التوت من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Mulberry Leaves is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,155.5,25,6.22,6.22,0
20,1000020,ورق نيم,Neem Leaves,"ورق نيم من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Neem Leaves is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.08,2.08,0
21,1000021,بذور المورينجا,Moringa Seeds,"بذور المورينجا من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Moringa Seeds are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,2.02,2.02,0
22,1000022,خزامه ( لافندر ),Lavender,"خزامه ( لافندر ) من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Lavender Lavender is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.03,3.03,0
23,1000023,عفص حب,Gallnut Seeds,"عفص حب من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Gallnut Seeds are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,2.03,2.03,0
24,1000024,جاوي اسود,Black Benzoin Jawi,"جاوي اسود من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Black Jawi is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.04,2.04,0
25,6.2129E+12,العطار شاي اخضر ليمون,Al Attar Green Tea Lemon,"العطار شاي اخضر ليمون مشروب طبيعي منعش ولذيذ، يحضر بطريقة تقليدية ويتميز بفوائده الصحية.","العطار شاي اخضر Lemon is a refreshing and delicious natural beverage, prepared traditionally with health benefits.",المشروبات,Beverages,0,0,12,12,0
26,1000025,حبه سوداء سوري,Black Seed Syrian,"حبه سوداء سوري من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","حبه سوداء Syrian are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,4.77,4.77,0
27,1000026,بذور الفجل,Radish Seeds,"بذور الفجل من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Radish Seeds are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,2.02,2.02,0
28,1000027,شعير يمني,Yemeni Barley,"شعير يمني من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Barley Yemeni is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5.05,5.05,0
29,1000028,مره شقراء رقم 1,Blonde Myrrh No. 1,"مره شقراء رقم 1 من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Myrrh Blonde رقم 1 is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,4.8795,4.88,0
30,1000029,شذاب بلدي,Rue Local (Shathab),"شذاب بلدي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Rue Local is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,145.5,48.5,3,3,0
31,1000030,ورق زعتر بري,Wild Thyme Leaves,"ورق زعتر بري من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Leaves زعتر بري is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,4.3,4.3,0
32,1000031,ريحان اخضر,Green Basil,"ريحان اخضر من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",ريحان اخضر is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.11,3.11,0
33,1000032,نعناع مجفف,Dried Mint,"نعناع مجفف من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",نعناع Dried is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,67.95,22.5,3.02,3.02,0
34,1000033,شيح مصرى,Egyptian Wormwood,"شيح مصرى من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",شيح مصرى is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.59,2.59,0
35,1000034,عباية السيده,Ladys Mantle (Abayat Al Sayyida),"عباية السيده من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",عباية السيده is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.07,3.07,0
36,1000035,عصفر ايراني رقم 1,Iranian Safflower No. 1,"عصفر ايراني رقم 1 من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",عصفر ايراني رقم 1 is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.07,3.07,0
37,1000036,بذور قطونه,Psyllium Seeds (Qatona),"بذور قطونه من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds قطونه are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,5.01,5.01,0
38,1000037,خرنوب,Carob,"خرنوب من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",خرنوب is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.01,2.01,0
39,1000038,بذور الاكبي,Akpi Seeds,"بذور الاكبي من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds الاكبي are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,5.03,5.03,0
40,1000039,عرق السوس اعواد,Licorice Sticks,"عرق السوس اعواد من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",عرق السوس اعواد is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.01,2.01,0
41,1000040,كراويه,Caraway,"كراويه من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",كراويه is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5.108,5.11,0
42,1000041,ورق سدر,Sidr Leaves,"ورق سدر من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Leaves سدر is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.01,3.01,0
43,1000042,عشبة المدينه,City Herb (Madinah Herb),"عشبة المدينه من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",عشبة المدينه is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,205,50,4.1,4.1,0
44,1000043,خردل اصفر,Yellow Mustard,"خردل اصفر من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",خردل اصفر is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.05,2.05,0
45,1000044,تفة حب ارشاد قصيمي,Tiffa Seeds Rashad Qassimi,"تفة حب ارشاد قصيمي من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","تفة Seeds ارشاد Qassimi are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,2.91,2.91,0
46,1000045,بذور ريحان,Basil Seeds,"بذور ريحان من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds ريحان are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,3.03,3.03,0
47,1000046,شيبه نجيرى,Nigerian Shibah (Lichen),"شيبه نجيرى من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",شيبه نجيرى is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.03,2.03,0
48,1000047,ورق هندباء,Dandelion Leaves,"ورق هندباء من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Leaves هندباء is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.984,2.98,0
49,1000048,صمغ عربي حب سوداني,Sudanese Gum Arabic Seeds,"صمغ عربي حب سوداني من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","صمغ عربي Seeds سوداني are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,3.06,3.06,0
50,1000049,ورق زيتون,Olive Leaves,"ورق زيتون زيت طبيعي نقي 100%، يستخدم للعناية بالبشرة والشعر وله خصائص علاجية وتجميلية.",Leaves زيتون is a 100% pure natural oil used for skin and hair care with therapeutic and cosmetic properties.,الزيوت الطبيعية,Natural Oils,0,0,3.04,3.04,0
51,1000050,سنامكي هندي,Indian Senna,"سنامكي هندي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",سنامكي هندي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.93,2.93,0
52,1000051,بذور بصل,Onion Seeds,"بذور بصل من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds بصل are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,2.01,2.01,0
53,1000052,نخوه هندي,Indian Ajwain (Nakhwa),"نخوه هندي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",نخوه هندي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,69.61066667,13.86666667,5.02,5.02,0
54,1000053,سمسم ابيض,White Sesame,"سمسم ابيض من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",سمسم ابيض is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,60.2,10,6.02,6.02,0
55,1000054,مسك حجر,Stone Musk,"مسك حجر بخور عطري فاخر برائحة زكية ومميزة، يضفي أجواء من الراحة والاسترخاء.","مسك حجر is a luxurious aromatic incense with a distinctive fragrance, creating an atmosphere of comfort and relaxation.",البخور والعطور,Incense & Fragrances,0,0,3.02,3.02,0
56,1000055,حلبة الخيل,Horse Fenugreek,"حلبة الخيل من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",حلبة الخيل is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,332.2,55,6.04,6.04,0
57,1000056,بردقوش زهرة الشام,Marjoram Zahrat Al Sham,"بردقوش زهرة الشام من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",بردقوش زهرة الشام is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.91,2.91,0
58,1000057,كف مريم بلدي,Chasteberry Local (Kaf Maryam),"كف مريم بلدي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",كف مريم Local is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.05,2.05,0
59,1000058,حناء حضرمي,Hadrami Henna,"حناء حضرمي حناء طبيعية نقية، تستخدم لصبغ الشعر وتزيين الجسم بطريقة آمنة وطبيعية.",Henna حضرمي is pure natural henna used for hair coloring and body decoration in a safe and natural way.,الحناء ومنتجاتها,Henna Products,0,0,10,10,0
60,1000059,لب القرع مقشر(الياقطين),Peeled Pumpkin Seeds,"لب القرع مقشر(الياقطين) من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",لب القرع مقشر الياقطين is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.02,3.02,0
61,1000060,وسمه رقم 1,Wasma No. 1,"وسمه رقم 1 من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",وسمه رقم 1 is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,4.8,4.8,0
62,1000061,ملح خشن,Coarse Salt,"ملح خشن من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",ملح خشن is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5,5,0
63,1000062,عرق السوس مجروش رمزي,Crushed Licorice Ramzi,"عرق السوس مجروش رمزي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",عرق السوس مجروش رمزي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3,3,0
64,1000063,بودرة الجنسنج قطوف (حبه),Ginseng Powder Qutouf (Grain),"بودرة الجنسنج قطوف (حبه) من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","بودرة الجنسنج قطوف حبه are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,12,12,0
65,1000064,بودرة طلع النخيل قطوف الوادي (حبه ),Palm Pollen Powder Qutouf Al Wadi,"بودرة طلع النخيل قطوف الوادي (حبه ) من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","بودرة طلع النخيل قطوف الوادي حبه are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,12,12,0
66,1000065,شمر أخضر هندي777,Indian Green Fennel 777,"شمر أخضر هندي777 من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",شمر أخضر هندي777 is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5.01,5.01,0
67,1000066,قسط هندى اعواد,Indian Costus Root Sticks,"قسط هندى اعواد من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",قسط هندى اعواد is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,1.968,1.97,0
68,1000067,بذور الكتان,Flax Seeds,"بذور الكتان من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds الكتان are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,2.97,2.97,0
69,1000068,محلب تركي,Turkish Mahlab,"محلب تركي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",محلب تركي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5.06,5.06,0
70,1000069,اكليل الجبل 2 تونسي,Rosemary Tunisian No. 2,"اكليل الجبل 2 تونسي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",اكليل الجبل 2 تونسي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.76,2.76,0
71,1000070,مورينجا اوراق,Moringa Leaves,"مورينجا اوراق من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",مورينجا اوراق is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.01,3.01,0
72,1000071,يانسون نجمي,Star Anise,"يانسون نجمي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",يانسون نجمي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,5.04,5.04,0
73,1000072,بذور بقدونس,Parsley Seeds,"بذور بقدونس من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds بقدونس are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,3.08,3.08,0
74,1000073,فول الصويا كندي,Soybeans Canadian,"فول الصويا كندي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",فول الصويا كندي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.02,2.02,0
75,1000074,بذور شبت,Dill Seeds,"بذور شبت من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds شبت are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,0.4,0.4,0
76,1000075,كنوه ابيض,White Quinoa,"كنوه ابيض من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",كنوه ابيض is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3,3,0
77,1000076,قرنفل سيريلانكي,Sri Lankan Cloves,"قرنفل سيريلانكي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",قرنفل سيريلانكي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2.86,2.86,0
78,1000077,بذور جزر,Carrot Seeds,"بذور جزر من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds جزر are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,2.01,2.01,0
79,1000078,ملح انجليزي,Epsom Salt,"ملح انجليزي من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",ملح انجليزي is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2,2,0
80,1000079,قشر رمان,Pomegranate Peel,"قشر رمان من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",قشر رمان is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,2,2,0
81,1000080,حب الرشاد,Cress Seeds (Rashad),"حب الرشاد من البذور الطبيعية عالية الجودة، غنية بالعناصر الغذائية والفيتامينات المفيدة للصحة.","Seeds الرشاد are high-quality natural seeds, rich in nutrients and vitamins beneficial for health.",البذور,Seeds,0,0,1,1,0
82,1000081,ورق الاس,Myrtle Leaves (Aas),"ورق الاس من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",Leaves الاس is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.12,3.12,0
83,1000082,زيزفزن ورق,Linden Leaves (Zayzafoon),"زيزفزن ورق من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",زيزفزن Leaves is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3,3,0
84,1000083,دوم مجرش,Crushed Doum,"دوم مجرش من الأعشاب الطبيعية عالية الجودة، تستخدم في الطب الشعبي والتقليدي لفوائدها الصحية المتعددة.",دوم مجرش is a high-quality natural herb used in traditional and folk medicine for its multiple health benefits.,الأعشاب الطبيعية,Natural Herbs,0,0,3.03,3.03,0
